NETWORK ID     NAME                                DRIVER    SCOPE
646e5b77a7fe   agent-exchange_internal             bridge    local
9e6a07a7bb44   bridge                              bridge    local
db09551e4225   cadvisor_default                    bridge    local
7369292470d4   docker_gwbridge                     bridge    local
1de4fec7013e   flawlessproclean_internal           bridge    local
df6ce127c958   funkwhale_default                   bridge    local
b28de00c7c88   grafana_default                     bridge    local
7a8c0bed6afd   host                                host      local
ujglax8fj9st   ingress                             overlay   swarm
e5a0f68141b7   joplin_joplin-net                   bridge    local
3d1fdd0e21bc   mailcowdockerized_mailcow-network   bridge    local
d4d39b07b385   mastodon_mastodon-internal          bridge    local
4fd5fb20e8b2   matrix-33x_matrix-33x-internal      bridge    local
56720429eeb2   matrix-411_internal                 bridge    local
83f6f47b2694   matrix_matrix-internal              bridge    local
3df979380718   mission-control_default             bridge    local
46f0d57642a9   mission-control_web                 bridge    local
ecd5381dc3b1   none                                null      local
5ad3caaa9894   peertube_internal                   bridge    local
cd83b39f2a83   pixelfed_internal                   bridge    local
4efe1d1f01f8   powerdns_pdns-internal              bridge    local
fe1464b929ad   prometheus_default                  bridge    local
a3c91ac89727   silohsailing_internal               bridge    local
6bdcef4b87f4   traefik                             bridge    local
1c0e906a7234   traefik-net                         bridge    local
ddfb3c6a86dd   web                                 bridge    local
dc6366241944   wordpress_internal                  bridge    local
7bfc3f43c61b   writefreely_default                 bridge    local
e462d19a773d   writefreely_writefreely-internal    bridge    local
